,LTP,STP,FN
0,5,168,8
1,5,169,10
2,5,170,9
3,5,171,9
4,5,172,8
5,5,173,6
6,5,174,9
7,5,175,5
8,5,176,0
9,5,180,1454
10,5,181,1731
11,5,182,4175
12,6,183,1163
13,6,184,244
14,6,191,0
15,6,192,0
16,6,193,6
17,6,195,0
18,6,196,0
19,6,197,0
20,7,198,2226
21,7,199,0
22,7,200,0
23,7,201,0
24,7,202,0
25,7,203,0
26,7,204,0
27,7,205,63
28,7,206,0
29,7,207,437
30,7,208,130
31,7,209,0
32,8,210,0
33,8,211,254
34,8,212,49
35,8,213,0
36,8,214,0
37,8,215,41
38,8,216,44
39,8,217,0
40,8,218,0
41,8,219,0
42,8,220,0
43,8,221,0
44,8,222,62
45,8,223,0
46,9,224,0
47,9,225,0
48,9,226,528
49,9,227,546
50,9,228,0
51,9,229,749
52,9,230,76
53,9,231,0
54,9,232,0
55,9,233,0
56,9,234,183
57,9,235,331
58,9,236,542
59,10,237,0
60,10,238,0
61,10,239,0
62,10,240,0
63,10,241,0
64,10,242,426
65,10,243,319
66,10,244,275
67,10,245,320
68,10,246,320
69,10,247,320
70,11,248,90
71,11,249,4
72,11,250,1
73,11,251,244
74,11,252,1064
75,11,253,701
76,11,254,394
77,11,255,118
78,11,256,74
79,11,257,0
80,11,258,0
81,11,259,0
82,11,260,0
83,11,261,114
84,11,262,51
85,11,263,47
86,12,264,77
87,12,265,115
88,12,266,0
89,12,267,0
90,12,268,0
91,12,269,0
92,12,270,0
93,12,271,0
94,12,272,0
95,12,273,0
96,12,274,0
97,12,275,0
98,12,276,0
99,13,277,298
100,13,278,356
101,13,279,1367
102,13,280,160
103,13,281,493
104,13,282,461
105,13,283,0
106,13,284,781
107,13,285,0
108,13,286,1080
109,13,287,408
110,13,288,201
111,13,289,1410
112,14,290,227
113,14,291,0
114,14,292,0
115,14,293,502
116,14,294,239
117,14,295,0
118,14,296,0
119,14,297,0
120,14,298,0
121,14,299,454
122,15,300,739
123,15,301,143
124,15,302,994
125,15,303,281
126,15,304,230
127,15,305,253
128,15,306,353
129,15,307,331
130,15,308,0
131,15,309,0
132,15,310,0
133,15,311,173
134,15,312,380
135,15,313,411
136,15,314,209
137,15,315,41
138,16,316,0
139,16,317,0
140,16,318,0
141,16,319,36
142,16,320,0
143,16,321,0
144,16,322,0
145,16,323,0
146,16,324,0
147,16,325,0
148,16,326,7
149,16,327,4
150,17,328,98
151,17,329,161
152,17,331,85
153,17,332,22
154,17,333,0
155,17,334,0
156,17,335,0
157,17,336,29
158,17,337,9
159,17,338,29
160,17,339,0
161,17,340,12
