,LTP,STP,FN
0,5,168,1
1,5,169,1
2,5,170,1
3,5,171,4
4,5,172,1
5,5,173,2
6,5,174,9
7,5,175,3
8,5,176,0
9,5,180,1241
10,5,181,899
11,5,182,2101
12,6,183,332
13,6,184,68
14,6,191,1500
15,6,192,696
16,6,193,566
17,6,195,2588
18,6,196,696
19,6,197,264
20,7,198,216
21,7,199,107
22,7,200,184
23,7,201,304
24,7,202,268
25,7,203,332
26,7,204,504
27,7,205,228
28,7,206,144
29,7,207,320
30,7,208,467
31,7,209,344
32,8,210,348
33,8,211,347
34,8,212,343
35,8,213,352
36,8,214,340
37,8,215,348
38,8,216,324
39,8,217,336
40,8,218,316
41,8,219,168
42,8,220,76
43,8,221,396
44,8,222,360
45,8,223,304
46,9,224,564
47,9,225,304
48,9,226,2000
49,9,227,1251
50,9,228,12
51,9,229,2969
52,9,230,463
53,9,231,455
54,9,232,572
55,9,233,586
56,9,234,548
57,9,235,596
58,9,236,480
59,10,237,356
60,10,238,356
61,10,239,356
62,10,240,164
63,10,241,356
64,10,242,1020
65,10,243,1192
66,10,244,1028
67,10,245,1196
68,10,246,1196
69,10,247,1196
70,11,248,336
71,11,249,4
72,11,250,0
73,11,251,1400
74,11,252,3277
75,11,253,2251
76,11,254,648
77,11,255,168
78,11,256,107
79,11,257,0
80,11,258,140
81,11,259,140
82,11,260,128
83,11,261,164
84,11,262,148
85,11,263,148
86,12,264,143
87,12,265,160
88,12,266,140
89,12,267,124
90,12,268,140
91,12,269,136
92,12,270,140
93,12,271,140
94,12,272,140
95,12,273,128
96,12,274,144
97,12,275,132
98,12,276,140
99,13,277,406
100,13,278,2324
101,13,279,2492
102,13,280,851
103,13,281,1308
104,13,282,844
105,13,283,656
106,13,284,836
107,13,285,660
108,13,286,664
109,13,287,508
110,13,288,344
111,13,289,1238
112,14,290,660
113,14,291,660
114,14,292,528
115,14,293,922
116,14,294,648
117,14,295,660
118,14,296,660
119,14,297,654
120,14,298,660
121,14,299,560
122,15,300,2308
123,15,301,203
124,15,302,2028
125,15,303,1016
126,15,304,1299
127,15,305,251
128,15,306,352
129,15,307,208
130,15,308,344
131,15,309,295
132,15,310,342
133,15,311,348
134,15,312,331
135,15,313,244
136,15,314,251
137,15,315,37
138,16,316,40
139,16,317,24
140,16,318,13
141,16,319,30
142,16,320,19
143,16,321,18
144,16,322,22
145,16,323,16
146,16,324,22
147,16,325,16
148,16,326,35
149,16,327,21
150,17,328,184
151,17,329,341
152,17,331,319
153,17,332,143
154,17,333,130
155,17,334,156
156,17,335,168
157,17,336,141
158,17,337,55
159,17,338,89
160,17,339,12
161,17,340,24
